road_id,speed_limit,lane_num,road_length_m,is_anomaly,road_type_metorway,road_type_primary,road_type_secondary
R0001,50.0,4,37767.48456534825,1,0,1,0
R0002,40.0,2,0.0,1,1,0,0
R0003,200.0,4,0.17125762849986428,1,0,1,0
R0004,40.0,10,37769.63735354224,1,0,0,1
R0005,60.0,4,37763.62464147088,1,0,0,0
R0006,40.0,2,37763.73783589256,0,0,0,1
R0007,60.0,4,37765.00481952863,0,0,1,0
R0008,60.0,4,32287.776689771526,1,0,1,0
R0009,40.0,2,32293.790037050625,0,0,0,1
R0010,60.0,4,32288.007953845765,0,0,1,0
R0011,40.0,2,32291.105168836817,0,0,0,1
R0012,60.0,4,32285.571665777457,0,0,1,0
R0013,40.0,2,32292.1796380939,0,0,0,1
R0014,60.0,4,32290.459751745162,0,0,1,0
R0015,50.0,3,38279.92243629976,0,0,0,1
R0016,50.0,3,38139.9161174257,0,0,0,1
R0017,50.0,3,33965.885595830245,0,0,0,1
R0018,60.0,4,32287.776689771526,1,0,1,0
R0019,40.0,2,1113.194907931611,1,0,0,1
R0020,40.0,2,1107.6289333943278,1,0,0,1
