road_id,road_type,speed_limit,lane_num,road_length_m,is_anomaly,anomaly_type
MLR00001,motorway,80,8,3475.26,0,normal
MLR00002,motorway,120,1,9029.62,1,attribute_combo
MLR00003,motorway,80,4,2967.74,0,normal
MLR00004,motorway,120,4,7444.18,0,normal
MLR00005,residential,20,2,1199.07,0,normal
MLR00006,motorway,80,8,4803.53,0,normal
MLR00007,primary,60,2,3.0582575536977665,1,short
MLR00008,motorway,120,6,5826.05,0,normal
MLR00009,residential,20,2,1667.34,0,normal
MLR00010,secondary,40,4,464.31,0,normal
MLR00011,secondary,30,2,3492.64,0,normal
MLR00012,residential,40,2,367.18,0,normal
MLR00013,secondary,30,4,2612.92,0,normal
MLR00014,primary,40,4,2587.0,0,normal
MLR00015,primary,80,4,5135.69,0,normal
MLR00016,primary,40,4,1.1418700658652892,1,short
MLR00017,residential,30,2,3.760367677096064,1,short
MLR00018,residential,40,2,755.89,0,normal
MLR00019,primary,150,4,1000.0,1,speed
MLR00020,primary,80,4,3780.25,0,normal
MLR00021,residential,40,2,1943.6,0,normal
MLR00022,motorway,120,8,2030.97,0,normal
MLR00023,secondary,200,2,1315.3,1,speed
MLR00024,secondary,40,4,3667.99,0,normal
MLR00025,secondary,200,2,1620.87,1,speed
MLR00026,secondary,60,2,625.1,0,normal
MLR00027,secondary,40,2,1115.31,0,normal
MLR00028,motorway,80,9,5373.91,1,lane
MLR00029,residential,40,1,566.86,0,normal
MLR00030,residential,20,1,1440.25,0,normal
MLR00031,secondary,60,4,1915.65,0,normal
MLR00032,motorway,100,4,6294.78,0,normal
MLR00033,primary,150,2,4393.13,1,speed
MLR00034,secondary,30,4,1104.42,0,normal
MLR00035,primary,80,2,4478.44,0,normal
MLR00036,residential,200,2,1624.62,1,speed
MLR00037,residential,30,2,851.65,0,normal
MLR00038,motorway,120,1,9857.49,1,attribute_combo
MLR00039,secondary,30,2,928.04,0,normal
MLR00040,primary,60,2,2032.0,0,normal
MLR00041,motorway,100,8,1881.18,0,normal
MLR00042,motorway,80,4,2496.8,0,normal
MLR00043,primary,120,1,1405.5,1,attribute_combo
MLR00044,secondary,60,3,1807.43,0,normal
MLR00045,residential,20,1,628.58,0,normal
MLR00046,motorway,120,6,1514.49,0,normal
MLR00047,primary,200,6,940.61,1,speed
MLR00048,primary,60,2,5678.78,0,normal
MLR00049,motorway,120,4,4773.02,0,normal
MLR00050,secondary,50,2,2744.96,0,normal
MLR00051,secondary,60,2,2752.42,0,normal
MLR00052,secondary,30,2,1941.48,0,normal
MLR00053,motorway,80,8,2918.39,0,normal
MLR00054,secondary,30,2,3.0972210520571557,1,short
MLR00055,motorway,120,8,3694.41,0,normal
MLR00056,primary,60,2,5393.42,0,normal
MLR00057,primary,60,4,3826.56,0,normal
MLR00058,primary,80,6,5191.02,0,normal
MLR00059,secondary,30,2,2610.28,0,normal
MLR00060,motorway,80,6,7940.07,0,normal
MLR00061,secondary,40,4,1878.97,0,normal
MLR00062,motorway,80,4,9505.46,0,normal
MLR00063,primary,80,2,5090.27,0,normal
MLR00064,primary,60,2,730.06,0,normal
MLR00065,motorway,100,4,7138.6,0,normal
MLR00066,secondary,60,4,3048.01,0,normal
MLR00067,primary,40,2,3.9336938311233958,1,short
MLR00068,residential,40,1,570.27,0,normal
MLR00069,motorway,100,4,8727.34,0,normal
MLR00070,residential,30,2,1650.05,0,normal
MLR00071,primary,40,6,1562.21,0,normal
MLR00072,motorway,100,6,6773.34,0,normal
MLR00073,secondary,30,2,3532.75,0,normal
MLR00074,secondary,30,2,2466.97,0,normal
MLR00075,secondary,60,10,3940.1,1,lane
MLR00076,motorway,120,6,1015.22,0,normal
MLR00077,primary,60,4,884.86,0,normal
MLR00078,secondary,50,4,3422.46,0,normal
MLR00079,secondary,50,4,1751.89,0,normal
MLR00080,secondary,40,2,1797.7,0,normal
MLR00081,primary,80,6,2155.22,0,normal
MLR00082,motorway,100,6,2891.64,0,normal
MLR00083,secondary,60,3,1880.21,0,normal
MLR00084,residential,40,1,1334.76,0,normal
MLR00085,secondary,30,2,2756.62,0,normal
MLR00086,primary,40,2,754.18,0,normal
MLR00087,motorway,100,6,8975.23,0,normal
MLR00088,residential,30,2,525.77,0,normal
MLR00089,motorway,80,6,2969.57,0,normal
MLR00090,residential,20,10,1839.07,1,lane
MLR00091,secondary,60,4,3297.02,0,normal
MLR00092,residential,40,2,1799.56,0,normal
MLR00093,residential,30,2,1515.96,0,normal
MLR00094,secondary,60,4,1109.13,0,normal
MLR00095,secondary,40,3,1476.22,0,normal
MLR00096,motorway,80,4,3081.35,0,normal
MLR00097,primary,40,4,2741.8,0,normal
MLR00098,residential,20,1,1674.14,0,normal
MLR00099,motorway,120,6,5292.82,0,normal
MLR00100,secondary,60,3,2245.24,0,normal
MLR00101,primary,60,2,2001.14,0,normal
MLR00102,residential,30,2,1462.15,0,normal
MLR00103,primary,80,6,648.32,0,normal
MLR00104,motorway,80,8,4857.51,0,normal
MLR00105,primary,40,4,2585.07,0,normal
MLR00106,secondary,50,3,1257.38,0,normal
MLR00107,residential,30,1,967.1,0,normal
MLR00108,motorway,100,4,6851.3,0,normal
MLR00109,motorway,80,9,2794.25,1,lane
MLR00110,primary,60,6,1129.14,0,normal
MLR00111,residential,150,2,1545.45,1,speed
MLR00112,secondary,30,4,297.58,0,normal
MLR00113,residential,30,1,198.19,0,normal
MLR00114,primary,40,6,4748.64,0,normal
MLR00115,motorway,120,4,4124.83,0,normal
MLR00116,secondary,120,1,2660.66,1,attribute_combo
MLR00117,residential,20,2,1923.54,0,normal
MLR00118,residential,40,1,899.2,0,normal
MLR00119,secondary,60,3,1855.18,0,normal
MLR00120,secondary,120,1,3356.78,1,attribute_combo
MLR00121,primary,60,6,3856.82,0,normal
MLR00122,motorway,100,6,2636.56,0,normal
MLR00123,secondary,50,3,3545.22,0,normal
MLR00124,secondary,120,1,3802.64,1,attribute_combo
MLR00125,residential,40,1,1396.69,0,normal
MLR00126,residential,30,1,231.45,0,normal
MLR00127,primary,60,6,3698.56,0,normal
MLR00128,secondary,60,4,2291.48,0,normal
MLR00129,residential,30,10,540.24,1,lane
MLR00130,motorway,120,8,9557.9,0,normal
MLR00131,primary,40,6,3163.09,0,normal
MLR00132,secondary,30,2,1325.74,0,normal
MLR00133,secondary,30,4,2229.71,0,normal
MLR00134,motorway,120,1,7276.76,1,attribute_combo
MLR00135,motorway,80,8,3559.05,0,normal
MLR00136,secondary,40,2,1159.42,0,normal
MLR00137,motorway,80,6,5425.72,0,normal
MLR00138,motorway,80,4,8300.28,0,normal
MLR00139,motorway,80,4,6022.66,0,normal
MLR00140,primary,80,4,2977.83,0,normal
MLR00141,residential,30,1,1238.78,0,normal
MLR00142,primary,80,9,1955.55,1,lane
MLR00143,motorway,80,4,4676.66,0,normal
MLR00144,residential,30,1,501.38,0,normal
MLR00145,residential,20,1,1851.63,0,normal
MLR00146,primary,60,2,3495.09,0,normal
MLR00147,secondary,40,2,426.62,0,normal
MLR00148,secondary,60,2,1981.05,0,normal
MLR00149,residential,30,2,903.63,0,normal
MLR00150,residential,40,12,1227.24,1,lane
MLR00151,motorway,120,6,6186.22,0,normal
MLR00152,primary,60,6,4083.3,0,normal
MLR00153,primary,80,4,3991.32,0,normal
MLR00154,motorway,100,6,4675.13,0,normal
MLR00155,motorway,80,6,4704.81,0,normal
MLR00156,residential,40,1,936.91,0,normal
MLR00157,secondary,30,3,3486.66,0,normal
MLR00158,motorway,120,8,3.150905975748386,1,short
MLR00159,residential,40,2,1531.98,0,normal
MLR00160,primary,60,4,5344.66,0,normal
MLR00161,motorway,120,8,8193.82,0,normal
MLR00162,secondary,30,4,1750.36,0,normal
MLR00163,motorway,100,4,2.5934728738406077,1,short
MLR00164,secondary,60,3,3924.93,0,normal
MLR00165,primary,60,2,5570.27,0,normal
MLR00166,primary,40,4,4749.71,0,normal
MLR00167,secondary,50,2,1274.79,0,normal
MLR00168,residential,20,2,1100.23,0,normal
MLR00169,residential,30,2,1745.72,0,normal
MLR00170,primary,80,4,1784.59,0,normal
MLR00171,motorway,100,8,5256.79,0,normal
MLR00172,residential,30,1,4.361531535474856,1,short
MLR00173,residential,20,9,79.93,1,lane
MLR00174,residential,30,2,1265.36,0,normal
MLR00175,motorway,100,8,8734.08,0,normal
MLR00176,secondary,60,4,4.987387022485455,1,short
MLR00177,motorway,100,4,7843.33,0,normal
MLR00178,motorway,100,4,7246.01,0,normal
MLR00179,motorway,100,4,3640.31,0,normal
MLR00180,primary,40,6,2766.28,0,normal
MLR00181,primary,40,2,934.33,0,normal
MLR00182,primary,60,6,1287.15,0,normal
MLR00183,secondary,60,3,2733.99,0,normal
MLR00184,residential,30,1,194.03,0,normal
MLR00185,secondary,60,4,1150.37,0,normal
MLR00186,primary,60,4,1086.59,0,normal
MLR00187,secondary,50,4,1321.88,0,normal
MLR00188,residential,30,1,1153.56,0,normal
MLR00189,motorway,120,8,5470.55,0,normal
MLR00190,secondary,40,4,3247.34,0,normal
MLR00191,primary,80,4,4227.7,0,normal
MLR00192,primary,80,2,5468.72,0,normal
MLR00193,secondary,60,2,2402.38,0,normal
MLR00194,motorway,100,12,7727.33,1,lane
MLR00195,secondary,50,2,1176.49,0,normal
MLR00196,residential,30,2,1618.25,0,normal
MLR00197,motorway,80,4,8741.27,0,normal
MLR00198,residential,40,2,226.09,0,normal
MLR00199,secondary,30,3,1600.63,0,normal
MLR00200,secondary,60,10,3773.11,1,lane
MLR00201,motorway,120,8,3952.06,0,normal
MLR00202,motorway,120,6,9184.49,0,normal
MLR00203,residential,120,1,138.43,1,attribute_combo
MLR00204,motorway,120,1,8985.33,1,attribute_combo
MLR00205,secondary,120,1,3020.62,1,attribute_combo
MLR00206,motorway,100,8,4673.04,0,normal
MLR00207,motorway,120,6,2955.43,0,normal
MLR00208,primary,60,2,5895.1,0,normal
MLR00209,secondary,30,3,1248.35,0,normal
MLR00210,residential,20,1,1301.32,0,normal
MLR00211,motorway,80,9,3192.12,1,lane
MLR00212,primary,80,2,4971.79,0,normal
MLR00213,primary,80,2,2025.01,0,normal
MLR00214,primary,150,4,4891.83,1,speed
MLR00215,motorway,100,4,0.356755187519765,1,short
MLR00216,residential,40,1,1504.05,0,normal
MLR00217,secondary,30,3,2114.59,0,normal
MLR00218,motorway,120,8,5693.06,0,normal
MLR00219,motorway,80,6,8625.69,0,normal
MLR00220,motorway,180,8,9187.31,1,speed
MLR00221,primary,40,2,2012.59,0,normal
MLR00222,secondary,60,4,2216.12,0,normal
MLR00223,residential,20,1,1712.95,0,normal
MLR00224,primary,60,4,5384.5,0,normal
MLR00225,residential,30,2,1472.74,0,normal
MLR00226,secondary,50,3,3823.65,0,normal
MLR00227,residential,200,1,1671.96,1,speed
MLR00228,secondary,40,4,427.93,0,normal
MLR00229,secondary,30,3,1543.67,0,normal
MLR00230,residential,40,1,1938.38,0,normal
MLR00231,secondary,120,1,2128.17,1,attribute_combo
MLR00232,primary,40,4,5149.55,0,normal
