road_id,road_type,speed_limit,lane_num,geometry
R0001,primary,,4,"LINESTRING (121.34016969071622 31.11, 121.3392854675366 31.2, 121.33864051695241 31.3, 121.3404355763442 31.4)"
R0002,metorway,40.0,2,"LINESTRING (121.38166584679863 31.11, 121.38169599334529 31.2, 121.3780401660437 31.3, 121.38166903045163 31.4)"
R0003,primary,200.0,4,"LINESTRING (121.41827024065444 31.11, 121.42156761114302 31.2, 121.4213960646501 31.3, 121.42027945983291 31.4)"
R0004,secondary,40.0,10,"LINESTRING (121.4583028943173 31.11, 121.45878317397211 31.2, 121.4586443606727 31.3, 121.46024507062384 31.4)"
R0005,,60.0,4,"LINESTRING (121.49800247541415 31.11, 121.49841182009865 31.2, 121.49986584514393 31.3, 121.50152612293306 31.4)"
R0006,secondary,40.0,2,"LINESTRING (121.53810646348268 31.11, 121.54053970002188 31.2, 121.54056506723065 31.3, 121.53872887829064 31.4)"
R0007,primary,60.0,4,"LINESTRING (121.5806108234715 31.11, 121.58088088720042 31.2, 121.58170187816101 31.3, 121.57808892574354 31.4)"
R0008,primary,60.0,4,"LINESTRING (121.31 31.14028135717692, 121.4 31.140158010810477, 121.5 31.14112016291949, 121.6 31.13876630962436)"
R0009,secondary,50.0,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0010,secondary,50.0,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0011,secondary,50.0,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0012,secondary,40.0,2,"LINESTRING (121.31 31.179948122898015, 121.4 31.18188716475464, 121.5 31.178445238069926, 121.6 31.181672554573165)"
R0013,secondary,50.0,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0014,secondary,50.0,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0015,secondary,50.0,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0016,primary,60.0,4,"LINESTRING (121.31 31.220298037202152, 121.4 31.218208445324162, 121.5 31.21889656716693, 121.6 31.21833239720103)"
R0017,secondary,50.0,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0018,secondary,50.0,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0019,secondary,50.0,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0020,secondary,40.0,2,"LINESTRING (121.31 31.258301711240435, 121.4 31.258707073077808, 121.5 31.259287164102425, 121.6 31.25943213539637)"
R0021,secondary,50.0,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0022,secondary,50.0,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0023,secondary,50.0,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0024,primary,60.0,4,"LINESTRING (121.31 31.300089493201373, 121.4 31.300181592556594, 121.5 31.30177886283124, 121.6 31.298820838520662)"
R0025,secondary,50.0,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0026,secondary,50.0,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0027,secondary,50.0,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0028,secondary,40.0,2,"LINESTRING (121.31 31.338287153778897, 121.4 31.34187289732867, 121.5 31.338925476144603, 121.6 31.339557146842044)"
R0029,secondary,50.0,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0030,secondary,50.0,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0031,secondary,50.0,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0032,primary,60.0,4,"LINESTRING (121.31 31.378812300165485, 121.4 31.378744195118806, 121.5 31.37992092433193, 121.6 31.381141677090437)"
R0033,secondary,50.0,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0034,secondary,50.0,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0035,secondary,50.0,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
