road_id,road_type,speed_limit,lane_num,geometry
R0001,primary,60,4,"LINESTRING (121.33851678231544 31.11, 121.34011352837844 31.2, 121.34114420755951 31.3, 121.34050688704185 31.4)"
R0002,secondary,40,2,"LINESTRING (121.38175156356546 31.11, 121.3791862769458 31.2, 121.37812554836238 31.3, 121.37845016345393 31.4)"
R0003,primary,60,4,"LINESTRING (121.42158274879428 31.11, 121.41812071640975 31.2, 121.41917071480576 31.3, 121.41957557173471 31.4)"
R0004,secondary,40,2,"LINESTRING (121.45934716477996 31.11, 121.45966875913653 31.2, 121.46099534080763 31.3, 121.46009719789338 31.4)"
R0005,primary,60,4,"LINESTRING (121.49920725139235 31.11, 121.50165337383241 31.2, 121.5008734823991 31.3, 121.4992495623242 31.4)"
R0006,secondary,40,2,"LINESTRING (121.53960741815447 31.11, 121.53819111028373 31.2, 121.54085230019571 31.3, 121.54130276526833 31.4)"
R0007,primary,60,4,"LINESTRING (121.58196844783812 31.11, 121.58170784736281 31.2, 121.57827170121183 31.3, 121.58195015907182 31.4)"
R0008,primary,60,4,"LINESTRING (121.31 31.140348625059435, 121.4 31.13844489477641, 121.5 31.140655807424224, 121.6 31.140136545246733)"
R0009,secondary,50,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0010,secondary,50,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0011,secondary,50,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0012,secondary,40,2,"LINESTRING (121.31 31.180364761033758, 121.4 31.181907893514904, 121.5 31.17801874071503, 121.6 31.180563105570503)"
R0013,secondary,50,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0014,secondary,50,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0015,secondary,50,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0016,primary,60,4,"LINESTRING (121.31 31.218959149520767, 121.4 31.220825679347865, 121.5 31.218666779095926, 121.6 31.218865069447787)"
R0017,secondary,50,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0018,secondary,50,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0019,secondary,50,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0020,secondary,40,2,"LINESTRING (121.31 31.2590631527548, 121.4 31.261407579244054, 121.5 31.259997694691723, 121.6 31.261676524452067)"
R0021,secondary,50,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0022,secondary,50,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0023,secondary,50,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0024,primary,60,4,"LINESTRING (121.31 31.29948641429717, 121.4 31.29801648152644, 121.5 31.300489709453615, 121.6 31.30094590059714)"
R0025,secondary,50,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0026,secondary,50,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0027,secondary,50,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0028,secondary,40,2,"LINESTRING (121.31 31.339539502719674, 121.4 31.339355491167723, 121.5 31.340661074533468, 121.6 31.341722432237475)"
R0029,secondary,50,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0030,secondary,50,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0031,secondary,50,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
R0032,primary,60,4,"LINESTRING (121.31 31.38010363272412, 121.4 31.38011929821141, 121.5 31.378620958866637, 121.6 31.378735232292414)"
R0033,secondary,50,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0034,secondary,50,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0035,secondary,50,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
