road_id,road_type,speed_limit,lane_num,geometry
R0001,primary,60,4,"LINESTRING (121.34037294678505 31.11, 121.33850440567693 31.2, 121.33899480003787 31.3, 121.34108280171846 31.4)"
R0002,secondary,40,2,"LINESTRING (121.37877399368095 31.11, 121.38091555384919 31.2, 121.37887920270019 31.3, 121.37863765541691 31.4)"
R0003,primary,60,4,"LINESTRING (121.41916484706587 31.11, 121.42126271921961 31.2, 121.41916466200475 31.3, 121.42087652455412 31.4)"
R0004,secondary,40,2,"LINESTRING (121.45894434838881 31.11, 121.4615080660798 31.2, 121.45946862663489 31.3, 121.4582293158226 31.4)"
R0005,primary,60,4,"LINESTRING (121.49992603942577 31.11, 121.49965215063924 31.2, 121.49912399889261 31.3, 121.49906006053969 31.4)"
R0006,secondary,40,2,"LINESTRING (121.54053091752404 31.11, 121.54070757152276 31.2, 121.53998341004129 31.3, 121.53977062559952 31.4)"
R0007,primary,60,4,"LINESTRING (121.58059440956099 31.11, 121.5818130372679 31.2, 121.58057761147522 31.3, 121.580279019364 31.4)"
R0008,primary,60,4,"LINESTRING (121.31 31.138401892843827, 121.4 31.138603045493074, 121.5 31.140564523610486, 121.6 31.13887544205408)"
R0009,secondary,40,2,"LINESTRING (121.31 31.17958185667348, 121.4 31.181830445044927, 121.5 31.179283379833237, 121.6 31.18087834802964)"
R0010,primary,60,4,"LINESTRING (121.31 31.219540824858246, 121.4 31.221497323670604, 121.5 31.220980463105295, 121.6 31.21939380442449)"
R0011,secondary,40,2,"LINESTRING (121.31 31.261434998644297, 121.4 31.258647223612613, 121.5 31.258732009191174, 121.6 31.260299753848095)"
R0012,primary,60,4,"LINESTRING (121.31 31.301458265277788, 121.4 31.300200699747826, 121.5 31.300598490366895, 121.6 31.29921496650826)"
R0013,secondary,40,2,"LINESTRING (121.31 31.33970148476154, 121.4 31.341294690497058, 121.5 31.338185070888752, 121.6 31.338186316207135)"
R0014,primary,60,4,"LINESTRING (121.31 31.380588655303722, 121.4 31.379362808730605, 121.5 31.38130414025021, 121.6 31.379116299819543)"
R0015,secondary,50,3,"LINESTRING (121.33 31.15, 121.4 31.22, 121.48 31.29, 121.57 31.36)"
R0016,secondary,50,3,"LINESTRING (121.35 31.38, 121.43 31.32, 121.52 31.25, 121.6 31.18)"
R0017,secondary,50,3,"LINESTRING (121.37 31.12, 121.45 31.18, 121.53 31.24, 121.59 31.3)"
